Order ID,Order Date,Ship Date,Days for Shipment,Ship Mode,Customer ID,Segment,City,Region,Product ID,Category,Total Revenue,Sold Quantity,Discount,Discount Amount,Profit,Profit Margin,Cost of Goods Sold (COGS),Cost per Quantity
CA-2011-143336,2011-08-27,2011-09-01,5,Second Class,ZD-21925,Consumer,San Francisco,West,OFF-BI-10002215,Binders,$22.72,4,20%,$4.54,$7.38,33%,$15.34,$3.83
CA-2013-137330,2013-12-10,2013-12-14,4,Standard Class,KB-16585,Corporate,Fremont,Central,OFF-AR-10000246,Art,$19.46,7,0%,$0.00,$5.06,26%,$14.40,$2.06
CA-2013-137330,2013-12-10,2013-12-14,4,Standard Class,KB-16585,Corporate,Fremont,Central,OFF-AP-10001492,Appliances,$60.34,7,0%,$0.00,$15.69,26%,$44.65,$6.38
US-2014-156909,2014-07-17,2014-07-19,2,Second Class,SF-20065,Consumer,Philadelphia,East,FUR-CH-10002774,Chairs,$71.37,2,30%,$21.41,-$1.02,-1%,$72.39,$36.20
CA-2012-106320,2012-09-25,2012-09-30,5,Standard Class,EB-13870,Consumer,Orem,West,FUR-TA-10000577,Tables,"$1,044.63",3,0%,$0.00,$240.26,23%,$804.37,$268.12
CA-2013-121755,2013-01-16,2013-01-20,4,Second Class,EH-13945,Consumer,Los Angeles,West,OFF-BI-10001634,Binders,$11.65,2,20%,$2.33,$4.22,36%,$7.43,$3.71
CA-2013-121755,2013-01-16,2013-01-20,4,Second Class,EH-13945,Consumer,Los Angeles,West,TEC-AC-10003027,Accessories,$90.57,3,0%,$0.00,$11.77,13%,$78.80,$26.27
US-2012-150630,2012-09-17,2012-09-21,4,Standard Class,TB-21520,Consumer,Philadelphia,East,FUR-BO-10004834,Bookcases,"$3,083.43",7,50%,"$1,541.72","-$1,665.05",-54%,"$4,748.48",$678.35
US-2012-150630,2012-09-17,2012-09-21,4,Standard Class,TB-21520,Consumer,Philadelphia,East,OFF-BI-10000474,Binders,$9.62,2,70%,$6.73,-$7.05,-73%,$16.67,$8.34
US-2012-150630,2012-09-17,2012-09-21,4,Standard Class,TB-21520,Consumer,Philadelphia,East,FUR-FU-10004848,Furnishings,$124.20,3,20%,$24.84,$15.53,13%,$108.68,$36.23
US-2012-150630,2012-09-17,2012-09-21,4,Standard Class,TB-21520,Consumer,Philadelphia,East,OFF-EN-10001509,Envelopes,$3.26,2,20%,$0.65,$1.10,34%,$2.16,$1.08
US-2012-150630,2012-09-17,2012-09-21,4,Standard Class,TB-21520,Consumer,Philadelphia,East,OFF-AR-10004042,Art,$86.30,6,20%,$17.26,$9.71,11%,$76.59,$12.77
US-2012-150630,2012-09-17,2012-09-21,4,Standard Class,TB-21520,Consumer,Philadelphia,East,OFF-BI-10001525,Binders,$6.86,6,70%,$4.80,-$5.72,-83%,$12.57,$2.10
US-2012-150630,2012-09-17,2012-09-21,4,Standard Class,TB-21520,Consumer,Philadelphia,East,OFF-AR-10001683,Art,$15.76,2,20%,$3.15,$3.55,23%,$12.21,$6.11
CA-2014-107727,2014-10-20,2014-10-24,4,Second Class,MA-17560,Home Office,Houston,Central,OFF-PA-10000249,Paper,$29.47,3,20%,$5.89,$9.95,34%,$19.53,$6.51
CA-2013-117590,2013-12-09,2013-12-11,2,First Class,GH-14485,Corporate,Richardson,Central,TEC-PH-10004977,Phones,"$1,097.54",7,20%,$219.51,$123.47,11%,$974.07,$139.15
CA-2013-117590,2013-12-09,2013-12-11,2,First Class,GH-14485,Corporate,Richardson,Central,FUR-FU-10003664,Furnishings,$190.92,5,60%,$114.55,-$147.96,-78%,$338.88,$67.78
CA-2012-117415,2012-12-27,2012-12-31,4,Standard Class,SN-20710,Home Office,Houston,Central,OFF-EN-10002986,Envelopes,$113.33,9,20%,$22.67,$35.42,31%,$77.91,$8.66
CA-2012-117415,2012-12-27,2012-12-31,4,Standard Class,SN-20710,Home Office,Houston,Central,FUR-BO-10002545,Bookcases,$532.40,3,32%,$170.37,-$46.98,-9%,$579.38,$193.13
CA-2012-117415,2012-12-27,2012-12-31,4,Standard Class,SN-20710,Home Office,Houston,Central,FUR-CH-10004218,Chairs,$212.06,3,30%,$63.62,-$15.15,-7%,$227.21,$75.74
CA-2012-117415,2012-12-27,2012-12-31,4,Standard Class,SN-20710,Home Office,Houston,Central,TEC-PH-10000486,Phones,$371.17,4,20%,$74.23,$41.76,11%,$329.41,$82.35
CA-2014-120999,2014-09-11,2014-09-16,5,Standard Class,LC-16930,Corporate,Naperville,Central,TEC-PH-10004093,Phones,$147.17,4,20%,$29.43,$16.56,11%,$130.61,$32.65
CA-2013-101343,2013-07-18,2013-07-23,5,Standard Class,RA-19885,Corporate,Los Angeles,West,OFF-ST-10003479,Storage,$77.88,2,0%,$0.00,$3.89,5%,$73.99,$36.99
CA-2014-139619,2014-09-20,2014-09-24,4,Standard Class,ES-14080,Corporate,Melbourne,South,OFF-ST-10003282,Storage,$95.62,2,20%,$19.12,$9.56,10%,$86.05,$43.03
CA-2013-118255,2013-03-12,2013-03-14,2,First Class,ON-18715,Corporate,Eagan,Central,TEC-AC-10000171,Accessories,$45.98,2,0%,$0.00,$19.77,43%,$26.21,$13.10
CA-2013-118255,2013-03-12,2013-03-14,2,First Class,ON-18715,Corporate,Eagan,Central,OFF-BI-10003291,Binders,$17.46,2,0%,$0.00,$8.21,47%,$9.25,$4.63
CA-2011-146703,2011-10-20,2011-10-25,5,Second Class,PO-18865,Consumer,Westland,Central,OFF-ST-10001713,Storage,$211.96,4,0%,$0.00,$8.48,4%,$203.48,$50.87
CA-2013-169194,2013-06-21,2013-06-26,5,Standard Class,LH-16900,Consumer,Dover,East,TEC-AC-10002167,Accessories,$45.00,3,0%,$0.00,$4.95,11%,$40.05,$13.35
CA-2013-169194,2013-06-21,2013-06-26,5,Standard Class,LH-16900,Consumer,Dover,East,TEC-PH-10003988,Phones,$21.80,2,0%,$0.00,$6.10,28%,$15.70,$7.85
CA-2012-115742,2012-04-18,2012-04-22,4,Standard Class,DP-13000,Consumer,New Albany,Central,OFF-BI-10004410,Binders,$38.22,6,0%,$0.00,$17.96,47%,$20.26,$3.38
CA-2012-115742,2012-04-18,2012-04-22,4,Standard Class,DP-13000,Consumer,New Albany,Central,OFF-LA-10002762,Labels,$75.18,6,0%,$0.00,$35.33,47%,$39.85,$6.64
CA-2012-115742,2012-04-18,2012-04-22,4,Standard Class,DP-13000,Consumer,New Albany,Central,FUR-FU-10001706,Furnishings,$6.16,2,0%,$0.00,$2.96,48%,$3.20,$1.60
CA-2012-115742,2012-04-18,2012-04-22,4,Standard Class,DP-13000,Consumer,New Albany,Central,FUR-CH-10003061,Chairs,$89.99,1,0%,$0.00,$17.10,19%,$72.89,$72.89
CA-2013-105816,2013-12-12,2013-12-18,6,Standard Class,JM-15265,Corporate,New York City,East,OFF-FA-10000304,Fasteners,$15.26,7,0%,$0.00,$6.26,41%,$9.00,$1.29
CA-2013-105816,2013-12-12,2013-12-18,6,Standard Class,JM-15265,Corporate,New York City,East,TEC-PH-10002447,Phones,"$1,029.95",5,0%,$0.00,$298.69,29%,$731.26,$146.25
CA-2013-111682,2013-06-18,2013-06-19,1,First Class,TB-21055,Consumer,Troy,East,OFF-ST-10000604,Storage,$208.56,6,0%,$0.00,$52.14,25%,$156.42,$26.07
CA-2013-111682,2013-06-18,2013-06-19,1,First Class,TB-21055,Consumer,Troy,East,OFF-PA-10001569,Paper,$32.40,5,0%,$0.00,$15.55,48%,$16.85,$3.37
CA-2013-111682,2013-06-18,2013-06-19,1,First Class,TB-21055,Consumer,Troy,East,FUR-CH-10003968,Chairs,$319.41,5,10%,$31.94,$7.10,2%,$312.31,$62.46
CA-2013-111682,2013-06-18,2013-06-19,1,First Class,TB-21055,Consumer,Troy,East,OFF-PA-10000587,Paper,$14.56,2,0%,$0.00,$6.99,48%,$7.57,$3.79
CA-2013-111682,2013-06-18,2013-06-19,1,First Class,TB-21055,Consumer,Troy,East,TEC-AC-10002167,Accessories,$30.00,2,0%,$0.00,$3.30,11%,$26.70,$13.35
CA-2013-111682,2013-06-18,2013-06-19,1,First Class,TB-21055,Consumer,Troy,East,OFF-BI-10001460,Binders,$48.48,4,20%,$9.70,$16.36,34%,$32.12,$8.03
CA-2013-111682,2013-06-18,2013-06-19,1,First Class,TB-21055,Consumer,Troy,East,OFF-AR-10001868,Art,$1.68,1,0%,$0.00,$0.84,50%,$0.84,$0.84
CA-2012-135545,2012-11-24,2012-11-30,6,Standard Class,KM-16720,Consumer,Los Angeles,West,TEC-AC-10004633,Accessories,$13.98,2,0%,$0.00,$6.15,44%,$7.83,$3.91
CA-2012-135545,2012-11-24,2012-11-30,6,Standard Class,KM-16720,Consumer,Los Angeles,West,OFF-BI-10001078,Binders,$25.82,6,20%,$5.16,$9.36,36%,$16.46,$2.74
CA-2012-135545,2012-11-24,2012-11-30,6,Standard Class,KM-16720,Consumer,Los Angeles,West,OFF-PA-10003892,Paper,$146.73,3,0%,$0.00,$68.96,47%,$77.77,$25.92
CA-2012-135545,2012-11-24,2012-11-30,6,Standard Class,KM-16720,Consumer,Los Angeles,West,FUR-FU-10000397,Furnishings,$79.76,4,0%,$0.00,$22.33,28%,$57.43,$14.36
US-2012-164175,2012-04-30,2012-05-05,5,Standard Class,PS-18970,Home Office,Chicago,Central,FUR-CH-10001146,Chairs,$213.12,5,30%,$63.93,-$15.22,-7%,$228.34,$45.67
CA-2011-106376,2011-12-05,2011-12-10,5,Standard Class,BS-11590,Corporate,Gilbert,West,OFF-AR-10002671,Art,"$1,113.02",8,20%,$222.60,$111.30,10%,"$1,001.72",$125.22
CA-2011-106376,2011-12-05,2011-12-10,5,Standard Class,BS-11590,Corporate,Gilbert,West,TEC-PH-10002726,Phones,$167.97,4,20%,$33.59,$62.99,38%,$104.98,$26.25
CA-2013-119823,2013-06-05,2013-06-07,2,First Class,KD-16270,Consumer,Springfield,South,OFF-PA-10000482,Paper,$75.88,2,0%,$0.00,$35.66,47%,$40.22,$20.11
CA-2013-106075,2013-09-19,2013-09-24,5,Standard Class,HM-14980,Consumer,New York City,East,OFF-BI-10004654,Binders,$4.62,1,20%,$0.92,$1.73,38%,$2.89,$2.89
CA-2014-114440,2014-09-15,2014-09-18,3,Second Class,TB-21520,Consumer,Jackson,Central,OFF-PA-10004675,Paper,$19.05,3,0%,$0.00,$8.76,46%,$10.29,$3.43
US-2012-134026,2012-04-26,2012-05-02,6,Standard Class,JE-15745,Consumer,Memphis,South,FUR-CH-10000513,Chairs,$831.94,8,20%,$166.39,-$114.39,-14%,$946.33,$118.29
US-2012-134026,2012-04-26,2012-05-02,6,Standard Class,JE-15745,Consumer,Memphis,South,FUR-FU-10003708,Furnishings,$97.04,2,20%,$19.41,$1.21,1%,$95.83,$47.91
US-2012-134026,2012-04-26,2012-05-02,6,Standard Class,JE-15745,Consumer,Memphis,South,OFF-ST-10004123,Storage,$72.78,1,20%,$14.56,-$18.20,-25%,$90.98,$90.98
US-2014-118038,2014-12-10,2014-12-12,2,First Class,KB-16600,Corporate,Houston,Central,OFF-BI-10004182,Binders,$1.25,3,80%,$1.00,-$1.93,-155%,$3.18,$1.06
US-2014-118038,2014-12-10,2014-12-12,2,First Class,KB-16600,Corporate,Houston,Central,FUR-FU-10000260,Furnishings,$9.71,3,60%,$5.82,-$5.82,-60%,$15.53,$5.18
US-2014-118038,2014-12-10,2014-12-12,2,First Class,KB-16600,Corporate,Houston,Central,OFF-ST-10000615,Storage,$27.24,3,20%,$5.45,$2.72,10%,$24.52,$8.17
US-2011-147606,2011-11-26,2011-12-01,5,Second Class,JE-15745,Consumer,Houston,Central,FUR-FU-10003194,Furnishings,$19.30,5,60%,$11.58,-$14.48,-75%,$33.78,$6.76
CA-2013-127208,2013-06-13,2013-06-16,3,First Class,SC-20770,Corporate,Decatur,South,OFF-AP-10002118,Appliances,$208.16,1,0%,$0.00,$56.20,27%,$151.96,$151.96
CA-2013-127208,2013-06-13,2013-06-16,3,First Class,SC-20770,Corporate,Decatur,South,OFF-BI-10002309,Binders,$16.74,3,0%,$0.00,$8.04,48%,$8.70,$2.90
CA-2011-139451,2011-10-12,2011-10-16,4,Standard Class,DN-13690,Consumer,San Francisco,West,OFF-AR-10002053,Art,$14.90,5,0%,$0.00,$4.17,28%,$10.73,$2.15
CA-2011-139451,2011-10-12,2011-10-16,4,Standard Class,DN-13690,Consumer,San Francisco,West,OFF-ST-10002370,Storage,$21.39,1,0%,$0.00,$6.20,29%,$15.19,$15.19
CA-2012-149734,2012-09-03,2012-09-08,5,Standard Class,JC-16105,Corporate,Durham,South,OFF-EN-10000927,Envelopes,$200.98,7,20%,$40.20,$62.81,31%,$138.18,$19.74
US-2014-119662,2014-11-14,2014-11-17,3,First Class,CS-12400,Home Office,Chicago,Central,OFF-ST-10003656,Storage,$230.38,3,20%,$46.08,-$48.95,-21%,$279.33,$93.11
CA-2014-140088,2014-05-29,2014-05-31,2,Second Class,PO-18865,Consumer,Columbia,South,FUR-CH-10000863,Chairs,$301.96,2,0%,$0.00,$33.22,11%,$268.74,$134.37
CA-2014-155558,2014-10-27,2014-11-03,7,Standard Class,PG-18895,Consumer,Rochester,Central,TEC-AC-10001998,Accessories,$19.99,1,0%,$0.00,$6.80,34%,$13.19,$13.19
CA-2014-155558,2014-10-27,2014-11-03,7,Standard Class,PG-18895,Consumer,Rochester,Central,OFF-LA-10000134,Labels,$6.16,2,0%,$0.00,$2.96,48%,$3.20,$1.60
CA-2013-159695,2013-04-06,2013-04-11,5,Second Class,GM-14455,Home Office,Houston,Central,OFF-ST-10003442,Storage,$158.37,7,20%,$31.67,$13.86,9%,$144.51,$20.64
CA-2013-109806,2013-09-18,2013-09-23,5,Standard Class,JS-15685,Corporate,Los Angeles,West,OFF-AR-10004930,Art,$20.10,3,0%,$0.00,$6.63,33%,$13.47,$4.49
CA-2013-109806,2013-09-18,2013-09-23,5,Standard Class,JS-15685,Corporate,Los Angeles,West,TEC-PH-10004093,Phones,$73.58,2,20%,$14.72,$8.28,11%,$65.31,$32.65
CA-2013-109806,2013-09-18,2013-09-23,5,Standard Class,JS-15685,Corporate,Los Angeles,West,OFF-PA-10000304,Paper,$6.48,1,0%,$0.00,$3.11,48%,$3.37,$3.37
CA-2012-149587,2012-01-31,2012-02-05,5,Second Class,KB-16315,Consumer,Minneapolis,Central,OFF-PA-10003177,Paper,$12.96,2,0%,$0.00,$6.22,48%,$6.74,$3.37
CA-2012-149587,2012-01-31,2012-02-05,5,Second Class,KB-16315,Consumer,Minneapolis,Central,FUR-FU-10003799,Furnishings,$53.34,3,0%,$0.00,$16.54,31%,$36.80,$12.27
CA-2012-149587,2012-01-31,2012-02-05,5,Second Class,KB-16315,Consumer,Minneapolis,Central,OFF-BI-10002852,Binders,$32.96,2,0%,$0.00,$16.15,49%,$16.81,$8.40
US-2014-109484,2014-11-07,2014-11-13,6,Standard Class,RB-19705,Home Office,Portland,West,OFF-BI-10004738,Binders,$5.68,1,70%,$3.98,-$3.79,-67%,$9.47,$9.47
CA-2014-161018,2014-11-10,2014-11-12,2,Second Class,PN-18775,Home Office,New York City,East,FUR-FU-10000629,Furnishings,$96.53,7,0%,$0.00,$40.54,42%,$55.99,$8.00
CA-2014-157833,2014-06-18,2014-06-21,3,First Class,KD-16345,Consumer,San Francisco,West,OFF-BI-10001721,Binders,$51.31,3,20%,$10.26,$17.96,35%,$33.35,$11.12
CA-2013-149223,2013-09-07,2013-09-12,5,Standard Class,ER-13855,Corporate,Saint Paul,Central,OFF-AP-10000358,Appliances,$77.88,6,0%,$0.00,$22.59,29%,$55.29,$9.22
CA-2013-158568,2013-08-30,2013-09-03,4,Standard Class,RB-19465,Home Office,Chicago,Central,OFF-PA-10003256,Paper,$64.62,7,20%,$12.92,$22.62,35%,$42.01,$6.00
CA-2013-158568,2013-08-30,2013-09-03,4,Standard Class,RB-19465,Home Office,Chicago,Central,TEC-AC-10001767,Accessories,$95.98,3,20%,$19.20,-$10.80,-11%,$106.77,$35.59
CA-2013-158568,2013-08-30,2013-09-03,4,Standard Class,RB-19465,Home Office,Chicago,Central,OFF-BI-10002609,Binders,$1.79,3,80%,$1.43,-$3.04,-170%,$4.83,$1.61
CA-2013-129903,2013-12-02,2013-12-05,3,Second Class,GZ-14470,Consumer,Rochester,Central,OFF-PA-10004040,Paper,$23.92,4,0%,$0.00,$11.72,49%,$12.20,$3.05
US-2012-156867,2012-11-13,2012-11-17,4,Standard Class,LC-16870,Consumer,Aurora,West,TEC-AC-10001552,Accessories,$238.90,6,20%,$47.78,-$26.88,-11%,$265.77,$44.30
US-2012-156867,2012-11-13,2012-11-17,4,Standard Class,LC-16870,Consumer,Aurora,West,FUR-FU-10004006,Furnishings,$102.36,3,20%,$20.47,-$3.84,-4%,$106.20,$35.40
US-2012-156867,2012-11-13,2012-11-17,4,Standard Class,LC-16870,Consumer,Aurora,West,OFF-BI-10002794,Binders,$36.88,3,70%,$25.82,-$25.82,-70%,$62.70,$20.90
CA-2014-119004,2014-11-24,2014-11-29,5,Standard Class,JM-15250,Consumer,Charlotte,South,TEC-AC-10003499,Accessories,$74.11,8,20%,$14.82,$17.60,24%,$56.51,$7.06
CA-2014-119004,2014-11-24,2014-11-29,5,Standard Class,JM-15250,Consumer,Charlotte,South,TEC-PH-10002844,Phones,$27.99,1,20%,$5.60,$2.10,8%,$25.89,$25.89
CA-2014-119004,2014-11-24,2014-11-29,5,Standard Class,JM-15250,Consumer,Charlotte,South,OFF-AR-10000390,Art,$3.30,1,20%,$0.66,$1.07,33%,$2.23,$2.23
CA-2012-129476,2012-10-15,2012-10-20,5,Standard Class,PA-19060,Home Office,Orland Park,Central,TEC-AC-10000844,Accessories,$339.96,5,20%,$67.99,$67.99,20%,$271.97,$54.39
CA-2014-146780,2014-12-26,2014-12-31,5,Standard Class,CV-12805,Corporate,New York City,East,FUR-FU-10001934,Furnishings,$41.96,2,0%,$0.00,$10.91,26%,$31.05,$15.53
CA-2013-128867,2013-11-04,2013-11-11,7,Standard Class,CL-12565,Consumer,Urbandale,Central,OFF-AR-10000380,Art,$75.96,2,0%,$0.00,$22.79,30%,$53.17,$26.59
CA-2013-128867,2013-11-04,2013-11-11,7,Standard Class,CL-12565,Consumer,Urbandale,Central,OFF-BI-10003981,Binders,$27.24,6,0%,$0.00,$13.35,49%,$13.89,$2.32
CA-2011-115259,2011-08-25,2011-08-27,2,Second Class,RC-19960,Consumer,Columbus,East,OFF-FA-10000621,Fasteners,$40.10,14,20%,$8.02,$14.53,36%,$25.56,$1.83
CA-2011-115259,2011-08-25,2011-08-27,2,Second Class,RC-19960,Consumer,Columbus,East,OFF-EN-10002600,Envelopes,$4.72,2,20%,$0.94,$1.65,35%,$3.07,$1.53
CA-2011-115259,2011-08-25,2011-08-27,2,Second Class,RC-19960,Consumer,Columbus,East,OFF-PA-10004965,Paper,$23.98,3,20%,$4.80,$7.49,31%,$16.48,$5.49
CA-2011-115259,2011-08-25,2011-08-27,2,Second Class,RC-19960,Consumer,Columbus,East,OFF-EN-10002504,Envelopes,$130.46,6,20%,$26.09,$44.03,34%,$86.43,$14.41
CA-2012-110457,2012-03-02,2012-03-06,4,Standard Class,DK-13090,Consumer,Seattle,West,FUR-TA-10001768,Tables,$787.53,3,0%,$0.00,$165.38,21%,$622.15,$207.38
US-2012-136476,2012-04-05,2012-04-10,5,Standard Class,GG-14650,Corporate,Bristol,South,OFF-BI-10003650,Binders,$157.79,1,70%,$110.46,-$115.72,-73%,$273.51,$273.51
CA-2013-103730,2013-06-13,2013-06-16,3,First Class,SC-20725,Consumer,Wilmington,East,FUR-FU-10002157,Furnishings,$47.04,3,0%,$0.00,$18.35,39%,$28.69,$9.56
CA-2013-103730,2013-06-13,2013-06-16,3,First Class,SC-20725,Consumer,Wilmington,East,OFF-BI-10003910,Binders,$30.84,4,0%,$0.00,$13.88,45%,$16.96,$4.24
CA-2013-103730,2013-06-13,2013-06-16,3,First Class,SC-20725,Consumer,Wilmington,East,OFF-ST-10000777,Storage,$226.56,6,0%,$0.00,$63.44,28%,$163.12,$27.19
CA-2013-103730,2013-06-13,2013-06-16,3,First Class,SC-20725,Consumer,Wilmington,East,OFF-EN-10002500,Envelopes,$115.02,9,0%,$0.00,$51.76,45%,$63.26,$7.03
CA-2013-103730,2013-06-13,2013-06-16,3,First Class,SC-20725,Consumer,Wilmington,East,TEC-PH-10003875,Phones,$68.04,7,0%,$0.00,$19.73,29%,$48.31,$6.90
US-2011-152030,2011-12-26,2011-12-28,2,Second Class,AD-10180,Home Office,Houston,Central,FUR-CH-10004063,Chairs,$600.56,3,30%,$180.17,-$8.58,-1%,$609.14,$203.05
US-2011-134614,2011-09-20,2011-09-25,5,Standard Class,PF-19165,Consumer,Bloomington,Central,FUR-TA-10004534,Tables,$617.70,6,50%,$308.85,-$407.68,-66%,"$1,025.38",$170.90
US-2014-107272,2014-11-06,2014-11-13,7,Standard Class,TS-21610,Consumer,Phoenix,West,OFF-BI-10003274,Binders,$2.39,2,70%,$1.67,-$1.83,-77%,$4.22,$2.11
US-2014-107272,2014-11-06,2014-11-13,7,Standard Class,TS-21610,Consumer,Phoenix,West,OFF-ST-10002974,Storage,$243.99,7,20%,$48.80,$30.50,13%,$213.49,$30.50
US-2013-125969,2013-11-07,2013-11-11,4,Second Class,LS-16975,Home Office,Los Angeles,West,FUR-CH-10001146,Chairs,$81.42,2,20%,$16.28,-$9.16,-11%,$90.58,$45.29
US-2013-125969,2013-11-07,2013-11-11,4,Second Class,LS-16975,Home Office,Los Angeles,West,FUR-FU-10003773,Furnishings,$238.56,3,0%,$0.00,$26.24,11%,$212.32,$70.77
US-2014-164147,2014-02-03,2014-02-06,3,First Class,DW-13585,Corporate,Columbus,East,TEC-PH-10002293,Phones,$59.97,5,40%,$23.99,-$11.99,-20%,$71.96,$14.39
US-2014-164147,2014-02-03,2014-02-06,3,First Class,DW-13585,Corporate,Columbus,East,OFF-PA-10002377,Paper,$78.30,2,20%,$15.66,$29.36,38%,$48.94,$24.47
US-2014-164147,2014-02-03,2014-02-06,3,First Class,DW-13585,Corporate,Columbus,East,OFF-FA-10002780,Fasteners,$21.46,9,20%,$4.29,$6.97,33%,$14.48,$1.61
CA-2013-145583,2013-10-14,2013-10-20,6,Standard Class,LC-16885,Consumer,Roseville,West,OFF-PA-10001804,Paper,$20.04,3,0%,$0.00,$9.62,48%,$10.42,$3.47
CA-2013-145583,2013-10-14,2013-10-20,6,Standard Class,LC-16885,Consumer,Roseville,West,OFF-PA-10001736,Paper,$35.44,1,0%,$0.00,$16.66,47%,$18.78,$18.78
CA-2013-145583,2013-10-14,2013-10-20,6,Standard Class,LC-16885,Consumer,Roseville,West,OFF-AR-10001149,Art,$11.52,4,0%,$0.00,$3.46,30%,$8.06,$2.02
CA-2013-145583,2013-10-14,2013-10-20,6,Standard Class,LC-16885,Consumer,Roseville,West,OFF-FA-10002988,Fasteners,$4.02,2,0%,$0.00,$1.97,49%,$2.05,$1.03
CA-2013-145583,2013-10-14,2013-10-20,6,Standard Class,LC-16885,Consumer,Roseville,West,OFF-BI-10004781,Binders,$76.18,3,20%,$15.24,$26.66,35%,$49.51,$16.50
CA-2013-145583,2013-10-14,2013-10-20,6,Standard Class,LC-16885,Consumer,Roseville,West,OFF-SU-10001218,Supplies,$65.88,6,0%,$0.00,$18.45,28%,$47.43,$7.91
CA-2013-145583,2013-10-14,2013-10-20,6,Standard Class,LC-16885,Consumer,Roseville,West,FUR-FU-10001706,Furnishings,$43.12,14,0%,$0.00,$20.70,48%,$22.42,$1.60
